year,region,mtumors,syncmtumors,insitu,ncervix
11,2021,Волинська,224,60,39,33
12,2021,Дніпропетровська,792,205,124,63
13,2021,Донецька,260,57,18,5
14,2021,Житомирська,314,89,110,77
15,2021,Закарпатська,175,40,12,8
16,2021,Запорізька,374,107,13,1
17,2021,Івано-Франківська,259,62,52,7
18,2021,Київська,374,116,32,23
19,2021,Кіровоградська,358,113,42,18
20,2021,Луганська,183,56,29,11
21,2021,Львівська,577,118,132,81
22,2021,Миколаївська,264,42,19,8
23,2021,Одеська,499,161,55,29
24,2021,Полтавська,359,105,26,12
25,2021,Рівненська,167,43,22,16
26,2021,Сумська,342,103,15,8
27,2021,Тернопільська,231,62,22,15
28,2021,Харківська,853,270,107,33
29,2021,Херсонська,399,88,15,6
30,2021,Хмельницька,281,45,16,7
31,2021,Черкаська,393,153,41,8
32,2021,Чернівецька,111,22,6,5
33,2021,Чернігівська,305,89,25,4
34,2021,м.Київ,1146,292,109,30
9,2017,АР Крим,0,0,0,0
10,2017,Вінницька,472,157,91,69
11,2017,Волинська,203,61,58,48
12,2017,Дніпропетровська,953,268,129,76
13,2017,Донецька,384,115,17,11
14,2017,Житомирська,297,57,80,67
15,2017,Закарпатська,165,54,39,33
16,2017,Запорізька,509,129,42,21
17,2017,Івано-Франківська,230,64,39,18
18,2017,Київська,499,151,46,33
19,2017,Кіровоградська,443,146,70,63
20,2017,Луганська,157,48,26,11
21,2017,Львівська,585,139,196,158
22,2017,Миколаївська,344,62,62,37
23,2017,Одеська,505,137,87,72
24,2017,Полтавська,363,109,79,65
25,2017,Рівненська,193,53,49,48
26,2017,Сумська,373,96,39,31
27,2017,Тернопільська,236,58,7,7
28,2017,Харківська,830,224,138,66
29,2017,Херсонська,458,124,31,16
30,2017,Хмельницька,306,56,30,18
31,2017,Черкаська,417,113,46,16
32,2017,Чернівецька,99,10,11,7
33,2017,Чернігівська,336,92,27,3
34,2017,м.Київ,1031,268,109,59
9,2009,Автономна pеспубліка Крим,532,178,32,24
10,2009,Вінницька,343,102,115,93
11,2009,Волинська,169,52,56,52
12,2009,Дніпропетровська,724,196,200,156
13,2009,Донецька,839,200,38,24
14,2009,Житомирська,265,76,41,31
15,2009,Закарпатська,124,35,20,14
16,2009,Запорізька,396,131,29,14
17,2009,Івано-Франківська,130,24,25,17
18,2009,Київська,358,95,28,25
19,2009,Кіровоградська,302,122,16,6
20,2009,Луганська,488,111,36,23
21,2009,Львівська,432,132,223,214
22,2009,Миколаївська,331,78,20,14
23,2009,Одеська,432,133,33,25
24,2009,Полтавська,322,102,22,16
25,2009,Рівненська,136,36,54,54
26,2009,Сумська,275,66,33,18
27,2009,Тернопільська,184,53,32,24
28,2009,Харківська,553,139,128,104
29,2009,Херсонська,287,77,22,18
30,2009,Хмельницька,280,56,53,6
31,2009,Черкаська,311,111,33,18
32,2009,Чернівецька,111,18,11,7
33,2009,Чернігівська,288,96,61,47
34,2009,м.Київ,795,189,95,51
9,2020,АР Крим,0,0,0,0
10,2020,Вінницька,357,117,35,17
11,2020,Волинська,222,54,35,18
