nvisits,nhome_visits,region,year,category
0,0,Харківська,2019,в т.ч. в сільскі жителі
2079575,88772,Херсонська,2019,в т.ч. в сільскі жителі
301709,0,Хмельницька,2019,в т.ч. в сільскі жителі
3123871,162782,Черкаська,2019,в т.ч. в сільскі жителі
1449599,254479,Чернівецька,2019,в т.ч. в сільскі жителі
0,0,Чернігівська,2019,в т.ч. в сільскі жителі
0,0,м.Київ,2019,в т.ч. в сільскі жителі
0,0,м.Севастополь,2019,в т.ч. в сільскі жителі
6253967,490328,Автономна pеспубліка Крим,2008,Всього
10046778,776328,Вінницька,2008,Всього
6501343,442682,Волинська,2008,Всього
6449557,402660,Дніпропетровська,2008,Всього
9493001,638812,Донецька,2008,Всього
7543627,520292,Житомирська,2008,Всього
8319733,959339,Закарпатська,2008,Всього
5147012,353586,Запорізька,2008,Всього
8298597,871717,Івано-Франківська,2008,Всього
11376191,709510,Київська,2008,Всього
4534978,256077,Кіровоградська,2008,Всього
4524044,314008,Луганська,2008,Всього
9667665,817222,Львівська,2008,Всього
6311601,377832,Миколаївська,2008,Всього
7173112,550123,Одеська,2008,Всього
7887547,617977,Полтавська,2008,Всього
6319316,448398,Рівненська,2008,Всього
6433757,564389,Сумська,2008,Всього
9162971,841693,Тернопільська,2008,Всього
10719041,763955,Харківська,2008,Всього
4234058,296673,Херсонська,2008,Всього
7488810,490672,Хмельницька,2008,Всього
7011327,526591,Черкаська,2008,Всього
4727840,383670,Чернівецька,2008,Всього
5074145,302819,Чернігівська,2008,Всього
0,0,м.Київ,2008,Всього
0,0,м.Севастополь,2008,Всього
1506008,260549,Автономна pеспубліка Крим,2008,в т.ч. в сільскі жителі
857080,120902,Вінницька,2008,в т.ч. в сільскі жителі
3791829,203826,Волинська,2008,в т.ч. в сільскі жителі
3698329,215010,Дніпропетровська,2008,в т.ч. в сільскі жителі
2250427,154741,Донецька,2008,в т.ч. в сільскі жителі
4246788,263978,Житомирська,2008,в т.ч. в сільскі жителі
4318691,571784,Закарпатська,2008,в т.ч. в сільскі жителі
2416971,174105,Запорізька,2008,в т.ч. в сільскі жителі
5027610,507567,Івано-Франківська,2008,в т.ч. в сільскі жителі
3815379,270673,Київська,2008,в т.ч. в сільскі жителі
2228542,113919,Кіровоградська,2008,в т.ч. в сільскі жителі
1750142,105118,Луганська,2008,в т.ч. в сільскі жителі
5924246,471447,Львівська,2008,в т.ч. в сільскі жителі
1087620,167896,Миколаївська,2008,в т.ч. в сільскі жителі
4220797,285039,Одеська,2008,в т.ч. в сільскі жителі
4554551,358589,Полтавська,2008,в т.ч. в сільскі жителі
4167994,258468,Рівненська,2008,в т.ч. в сільскі жителі
840120,137389,Сумська,2008,в т.ч. в сільскі жителі
5431170,527644,Тернопільська,2008,в т.ч. в сільскі жителі
1356814,235816,Харківська,2008,в т.ч. в сільскі жителі
1028984,149922,Херсонська,2008,в т.ч. в сільскі жителі
1602489,203086,Хмельницька,2008,в т.ч. в сільскі жителі
4163380,304690,Черкаська,2008,в т.ч. в сільскі жителі
3576057,288727,Чернівецька,2008,в т.ч. в сільскі жителі
676285,104398,Чернігівська,2008,в т.ч. в сільскі жителі
0,0,м.Київ,2008,в т.ч. в сільскі жителі
0,0,м.Севастополь,2008,в т.ч. в сільскі жителі
0,0,Автономна pеспубліка Крим,2021,Всього
4865238,161433,Вінницька,2021,Всього
3044737,63406,Волинська,2021,Всього
3094108,162660,Дніпропетровська,2021,Всього
2824380,73798,Донецька,2021,Всього
2823580,95257,Житомирська,2021,Всього
4522274,374842,Закарпатська,2021,Всього
2914439,116704,Запорізька,2021,Всього
4649407,265993,Івано-Франківська,2021,Всього
6121236,156651,Київська,2021,Всього
2721678,43543,Кіровоградська,2021,Всього
1773681,52407,Луганська,2021,Всього
13275885,517709,Львівська,2021,Всього
2061685,67395,Миколаївська,2021,Всього
3171291,169072,Одеська,2021,Всього
4935370,138575,Полтавська,2021,Всього
4168020,230884,Рівненська,2021,Всього
3666624,105484,Сумська,2021,Всього
4413876,274422,Тернопільська,2021,Всього
6701969,168493,Харківська,2021,Всього
2465571,85795,Херсонська,2021,Всього
4231601,133947,Хмельницька,2021,Всього
3583819,123104,Черкаська,2021,Всього
3036061,244619,Чернівецька,2021,Всього
2914041,78276,Чернігівська,2021,Всього
0,0,м.Київ,2021,Всього
0,0,м.Севастополь,2021,Всього
0,0,Автономна pеспубліка Крим,2021,в т.ч. в сільскі жителі
0,0,Вінницька,2021,в т.ч. в сільскі жителі
0,0,Волинська,2021,в т.ч. в сільскі жителі
0,0,Дніпропетровська,2021,в т.ч. в сільскі жителі
773093,28800,Донецька,2021,в т.ч. в сільскі жителі
0,0,Житомирська,2021,в т.ч. в сільскі жителі
83997,0,Закарпатська,2021,в т.ч. в сільскі жителі
61656,0,Запорізька,2021,в т.ч. в сільскі жителі
0,0,Івано-Франківська,2021,в т.ч. в сільскі жителі
2102726,70931,Київська,2021,в т.ч. в сільскі жителі
0,0,Кіровоградська,2021,в т.ч. в сільскі жителі
365070,13782,Луганська,2021,в т.ч. в сільскі жителі
0,0,Львівська,2021,в т.ч. в сільскі жителі
10374,914,Миколаївська,2021,в т.ч. в сільскі жителі
1198910,96186,Одеська,2021,в т.ч. в сільскі жителі
0,0,Полтавська,2021,в т.ч. в сільскі жителі
2523909,156464,Рівненська,2021,в т.ч. в сільскі жителі
0,0,Сумська,2021,в т.ч. в сільскі жителі
0,0,Тернопільська,2021,в т.ч. в сільскі жителі
0,0,Харківська,2021,в т.ч. в сільскі жителі
1323733,41057,Херсонська,2021,в т.ч. в сільскі жителі
122598,0,Хмельницька,2021,в т.ч. в сільскі жителі
2081652,87075,Черкаська,2021,в т.ч. в сільскі жителі
1579386,209787,Чернівецька,2021,в т.ч. в сільскі жителі
0,0,Чернігівська,2021,в т.ч. в сільскі жителі
0,0,м.Київ,2021,в т.ч. в сільскі жителі
0,0,м.Севастополь,2021,в т.ч. в сільскі жителі
0,0,Автономна pеспубліка Крим,2017,Всього
8549292,617530,Вінницька,2017,Всього
5668664,361673,Волинська,2017,Всього
5353051,349840,Дніпропетровська,2017,Всього
5203978,354969,Донецька,2017,Всього
6882191,346061,Житомирська,2017,Всього
7989615,866652,Закарпатська,2017,Всього
4521833,307121,Запорізька,2017,Всього
