year,region,male,female
22,2023,Миколаївська,404,457
23,2023,Одеська,1093,1010
24,2023,Полтавська,847,801
25,2023,Рівненська,701,727
26,2023,Сумська,620,520
27,2023,Тернопільська,926,814
28,2023,Харківська,387,356
29,2023,Херсонська,131,128
30,2023,Хмельницька,1074,942
31,2023,Черкаська,1037,872
32,2023,Чернівецька,515,488
33,2023,Чернігівська,633,571
34,2023,м.Київ,0,0
9,2016,АР Крим,0,0
10,2016,Вінницька,1445,1365
11,2016,Волинська,662,552
12,2016,Дніпропетровська,930,897
13,2016,Донецька,338,491
14,2016,Житомирська,750,698
15,2016,Закарпатська,972,807
16,2016,Запорізька,623,633
17,2016,Івано-Франківська,1142,932
18,2016,Київська,1175,1221
19,2016,Кіровоградська,670,726
20,2016,Луганська,170,169
21,2016,Львівська,1530,1274
22,2016,Миколаївська,624,620
23,2016,Одеська,1017,963
24,2016,Полтавська,953,918
25,2016,Рівненська,794,704
26,2016,Сумська,705,688
27,2016,Тернопільська,1004,863
28,2016,Харківська,872,855
29,2016,Херсонська,739,646
30,2016,Хмельницька,1096,1029
31,2016,Черкаська,1045,912
32,2016,Чернівецька,691,574
33,2016,Чернігівська,704,621
34,2016,м.Київ,0,0
9,2022,АР Крим,0,0
10,2022,Вінницька,1192,997
11,2022,Волинська,691,579
12,2022,Дніпропетровська,690,659
13,2022,Донецька,41,67
14,2022,Житомирська,669,560
15,2022,Закарпатська,885,723
16,2022,Запорізька,200,191
17,2022,Івано-Франківська,1176,972
18,2022,Київська,781,865
19,2022,Кіровоградська,570,530
20,2022,Луганська,34,24
21,2022,Львівська,1497,1249
22,2022,Миколаївська,255,226
23,2022,Одеська,880,795
24,2022,Полтавська,840,728
25,2022,Рівненська,749,609
26,2022,Сумська,539,456
27,2022,Тернопільська,881,724
28,2022,Харківська,139,118
29,2022,Херсонська,247,215
30,2022,Хмельницька,967,877
31,2022,Черкаська,936,834
32,2022,Чернівецька,506,457
33,2022,Чернігівська,575,481
34,2022,м.Київ,0,0
9,2018,АР Крим,0,0
10,2018,Вінницька,1421,1327
11,2018,Волинська,664,527
12,2018,Дніпропетровська,883,805
13,2018,Донецька,234,261
14,2018,Житомирська,819,697
15,2018,Закарпатська,954,858
16,2018,Запорізька,616,641
17,2018,Івано-Франківська,1136,1013
18,2018,Київська,1184,1217
19,2018,Кіровоградська,728,689
20,2018,Луганська,217,227
21,2018,Львівська,1584,1354
22,2018,Миколаївська,629,608
23,2018,Одеська,1088,972
24,2018,Полтавська,993,955
25,2018,Рівненська,703,702
26,2018,Сумська,718,649
27,2018,Тернопільська,934,821
28,2018,Харківська,881,877
29,2018,Херсонська,701,658
30,2018,Хмельницька,1085,974
31,2018,Черкаська,1022,933
32,2018,Чернівецька,613,521
33,2018,Чернігівська,699,601
34,2018,м.Київ,0,0
