Region,year,polluted_dumps,not_cleaned_dumps,dumps_not_cleaned_enough,num_clearing_plants
Київська,1994,15,0.0,15,171
Кіровоградська,1994,46,0.0,46,214
Луганська,1994,668,144.0,524,756
Львівська,1994,62,8.0,53,390
Миколаївська,1994,81,16.0,65,122
Одеська,1994,303,167.0,136,305
Полтавська,1994,64,0.0,64,146
Рівненська,1994,29,0.0,29,134
Сумська,1994,32,1.0,32,140
Тернопільська,1994,10,2.0,8,68
Харківська,1994,365,31.0,334,604
Херсонська,1994,98,86.0,12,149
Хмельницька,1994,18,0.0,18,113
Черкаська,1994,23,4.0,19,186
Чернівецька,1994,33,7.0,26,66
Чернігівська,1994,42,0.0,41,76
Автономна Республіка Крим,1995,68,3,65,410
Вінницька,1995,6,1,5,94
Волинська,1995,43,0,42,86
Дніпропетровська,1995,777,178,599,1089
Донецька,1995,962,211,752,1542
Житомирська,1995,50,1,49,113
Закарпатська,1995,20,0,19,53
Запорізька,1995,343,98,246,406
Івано-Франківська,1995,68,2,66,136
Київська,1995,14,1,13,174
Кіровоградська,1995,50,0,50,227
Луганська,1995,616,112,504,906
Львівська,1995,56,5,51,388
Миколаївська,1995,87,23,63,121
Одеська,1995,264,130,134,302
Полтавська,1995,52,0,52,128
Рівненська,1995,31,0,31,145
Сумська,1995,31,1,30,139
Тернопільська,1995,8,2,6,66
Харківська,1995,329,34,295,601
Херсонська,1995,69,59,10,148
Хмельницька,1995,22,0,23,108
Черкаська,1995,23,5,18,182
Чернівецька,1995,33,7,26,66
Чернігівська,1995,39,0,39,64
Автономна Республіка Крим,1996,68,3.0,65,397
Вінницька,1996,14,1.0,13,92
Волинська,1996,45,0.0,45,85
Дніпропетровська,1996,741,162.0,579,1064
Донецька,1996,980,232.0,748,1560
Житомирська,1996,39,0.0,38,115
Закарпатська,1996,16,0.0,16,53
Запорізька,1996,441,202.0,239,403
Івано-Франківська,1996,66,2.0,64,136
Київська,1996,14,0.0,14,185
Кіровоградська,1996,53,1.0,52,216
Луганська,1996,556,114.0,442,746
Львівська,1996,55,4.0,49,388
Миколаївська,1996,87,31.0,56,121
Одеська,1996,228,89.0,139,307
Полтавська,1996,55,1.0,55,152
Рівненська,1996,27,0.0,27,139
Сумська,1996,19,0.0,19,136
Тернопільська,1996,8,2.0,6,66
Харківська,1996,329,24.0,306,609
Херсонська,1996,71,62.0,9,141
Хмельницька,1996,32,0.0,32,127
Черкаська,1996,23,5.0,18,187
Чернівецька,1996,30,7.0,24,66
Чернігівська,1996,39,0.0,39,64
Автономна Республіка Крим,1997,70,5.0,65,403
Вінницька,1997,15,1.0,14,94
Волинська,1997,42,0.0,42,85
Дніпропетровська,1997,734,192.0,542,1087
Донецька,1997,986,210.0,777,1532
Житомирська,1997,43,0.0,43,125
Закарпатська,1997,13,0.0,12,53
Запорізька,1997,327,75.0,252,394
Івано-Франківська,1997,69,3.0,65,135
Київська,1997,11,1.0,11,190
Кіровоградська,1997,62,1.0,61,221
Луганська,1997,470,70.0,401,715
Львівська,1997,54,5.0,49,387
Миколаївська,1997,103,42.0,61,120
Одеська,1997,211,77.0,135,310
Полтавська,1997,57,0.0,56,151
Рівненська,1997,20,0.0,20,141
Сумська,1997,17,1.0,17,136
Тернопільська,1997,7,2.0,5,66
Харківська,1997,235,21.0,214,642
Херсонська,1997,11,8.0,3,150
Хмельницька,1997,13,0.0,13,113
Черкаська,1997,30,4.0,26,165
Чернівецька,1997,28,7.0,21,66
Чернігівська,1997,36,0.0,36,66
Автономна Республіка Крим,1998,73,5,67,397
Вінницька,1998,75,8,67,87
Волинська,1998,42,0,42,84
Дніпропетровська,1998,731,183,549,1087
Донецька,1998,965,259,706,1659
Житомирська,1998,41,2,38,117
Закарпатська,1998,13,0,13,53
Запорізька,1998,345,104,241,394
Івано-Франківська,1998,71,3,68,134
Київська,1998,15,3,12,179
Кіровоградська,1998,60,0,61,205
Луганська,1998,458,56,402,689
Львівська,1998,53,5,47,378
Миколаївська,1998,95,35,60,114
Одеська,1998,167,72,95,297
Полтавська,1998,41,0,41,149
Рівненська,1998,28,1,27,131
Сумська,1998,15,1,15,135
Тернопільська,1998,6,1,5,64
Харківська,1998,312,11,301,638
Херсонська,1998,11,10,1,146
Хмельницька,1998,11,-,11,121
Черкаська,1998,29,4,25,165
Чернівецька,1998,15,9,6,67
Чернігівська,1998,34,-,34,69
Автономна Республіка Крим,1999,72,6,66,325
Вінницька,1999,70,2,68,87
Волинська,1999,33,0,33,79
Дніпропетровська,1999,719,165,554,1091
Донецька,1999,967,247,720,1532
Житомирська,1999,36,0,36,103
Закарпатська,1999,13,0,13,52
Запорізька,1999,317,84,233,390
Івано-Франківська,1999,73,5,68,134
Київська,1999,13,3,10,177
Кіровоградська,1999,68,0,68,208
Луганська,1999,408,58,350,669
Львівська,1999,48,3,45,383
Миколаївська,1999,97,39,58,109
Одеська,1999,299,75,224,286
Полтавська,1999,21,0,21,150
Рівненська,1999,28,0,28,139
Сумська,1999,16,0,16,136
Тернопільська,1999,5,2,3,61
Харківська,1999,31,12,19,639
Херсонська,1999,2,1,1,142
Хмельницька,1999,6,0,6,117
Черкаська,1999,19,3,16,159
Чернівецька,1999,17,9,8,66
Чернігівська,1999,34,0,34,59
Автономна Республіка Крим,2000,71,10,61,397
Вінницька,2000,63,2,62,89
Волинська,2000,35,3,32,82
Дніпропетровська,2000,727,201,525,1033
Донецька,2000,943,239,704,1503
Житомирська,2000,34,0,34,99
Закарпатська,2000,14,1,13,48
Запорізька,2000,300,77,223,388
Івано-Франківська,2000,68,6,62,134
Київська,2000,20,9,11,173
Кіровоградська,2000,64,0,64,195
Луганська,2000,373,43,330,657
Львівська,2000,55,4,51,386
Миколаївська,2000,98,44,54,121
Одеська,2000,238,67,170,266
Полтавська,2000,25,0,25,151
Рівненська,2000,18,1,17,133
Сумська,2000,15,0,15,165
Тернопільська,2000,5,1,4,62
Харківська,2000,24,9,15,641
Херсонська,2000,4,2,2,135
Хмельницька,2000,8,1,7,122
Черкаська,2000,22,4,19,155
Чернівецька,2000,12,6,6,66
Чернігівська,2000,32,–,32,60
Автономна Республіка Крим,2001,71,10,61,414
