Region,year,polluted_dumps,not_cleaned_dumps,dumps_not_cleaned_enough,num_clearing_plants
Тернопільська,2020,2,1,1,
Харківська,2020,13,8,5,
Херсонська,2020,2,1,1,
Хмельницька,2020,1,−,1,
Черкаська,2020,3,0,3,
Чернівецька,2020,2,1,1,
Чернігівська,2020,11,−,11,
"Автономна 
Республіка Крим",2021,…,…,…,
Вінницька,2021,1,0,1,
Волинська,2021,1,1,0,
Дніпропетровська,2021,120,42,79,
Донецька,2021,90,0,90,
Житомирська,2021,2,0,2,
Закарпатська,2021,4,0,4,
Запорізька,2021,7,0,7,
Івано-Франківська,2021,1,0,1,
Київська,2021,1,0,1,
Кіровоградська,2021,16,0,16,
Луганська,2021,21,0,21,
Львівська,2021,120,1,119,
Миколаївська,2021,20,1,19,
Одеська,2021,32,27,4,
Полтавська,2021,25,22,3,
Рівненська,2021,8,1,7,
Сумська,2021,19,0,18,
Тернопільська,2021,2,1,2,
Харківська,2021,5,1,4,
Херсонська,2021,9,6,3,
Хмельницька,2021,1,0,1,
Черкаська,2021,4,0,4,
Чернівецька,2021,2,1,1,
Чернігівська,2021,15,−,15,
"Автономна 
Республіка Крим",2022,…,…,…,
Вінницька,2022,1,−,0,
Волинська,2022,−,−,−,
Дніпропетровська,2022,111,38,73,
Донецька,2022,37,−,37,
Житомирська,2022,1,0,1,
Закарпатська,2022,4,0,4,
Запорізька,2022,1,0,1,
Івано-Франківська,2022,0,−,0,
Київська,2022,2,1,0,
Кіровоградська,2022,17,−,17,
Луганська,2022,−,−,−,
Львівська,2022,114,1,113,
Миколаївська,2022,13,1,12,
Одеська,2022,5,2,3,
Полтавська,2022,23,20,3,
Рівненська,2022,4,0,4,
Сумська,2022,15,0,15,
Тернопільська,2022,2,1,2,
Харківська,2022,3,0,3,
Херсонська,2022,−,−,−,
Хмельницька,2022,0,−,0,
Черкаська,2022,4,0,4,
Чернівецька,2022,1,1,1,
Чернігівська,2022,1,−,1,
